state_short,state,vaccination_rate,initial_value,subsequent_value,colour
1,1,0.67,24,11,purple
2,2,0.63,3,4,purple
3,3,0.63,3,23,purple
4,4,0.62,11,2,purple
5,5,0.6,7,24,red
6,6,0.58,0,7,purple
7,7,0.58,14,7,red
8,8,0.57,4,10,red
9,9,0.56,21,0,red
10,10,0.56,7,11,purple
11,11,0.56,1,4,purple
12,12,0.55,12,13,purple
13,13,0.53,25,19,purple
14,14,0.53,13,25,red
15,15,0.53,4,7,red
16,16,0.53,9,15,purple
17,17,0.51,2,2,red
18,18,0.51,16,24,red
19,19,0.51,22,8,purple
20,20,0.51,16,11,purple
21,21,0.49,5,7,red
22,22,0.49,0,9,red
23,23,0.48,7,2,purple
24,24,0.47,14,20,red
25,25,0.47,19,14,red
26,26,0.46,12,13,purple
27,27,0.46,3,22,red
28,28,0.45,3,5,red
29,29,0.45,23,16,red
30,30,0.44,13,11,red
31,31,0.44,19,9,purple
32,32,0.44,24,12,red
33,33,0.43,5,2,red
34,34,0.43,13,7,red
35,35,0.43,3,2,red
36,36,0.43,17,23,red
37,37,0.43,24,23,red
38,38,0.4,5,1,red
39,39,0.4,11,16,purple
40,40,0.4,13,3,purple
41,41,0.39,21,19,red
42,42,0.39,2,24,purple
43,43,0.38,25,16,red
44,44,0.38,8,8,red
45,45,0.38,25,1,purple
46,46,0.37,9,1,purple
47,47,0.36,13,2,red
48,48,0.35,2,4,red
49,49,0.34,12,18,red
50,50,0.34,3,6,red
